,index,Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
0,1056,2020-06-02 12:59:31,ETHTUSD,BUY,236.3384,0.1,23.633840000000003,0.023633840000000003,TUSD
1,1055,2020-06-02 12:42:11,ETHTUSD,BUY,236.2485,0.1,23.624850000000002,0.023624850000000003,TUSD
2,1054,2020-06-02 12:20:05,ETHTUSD,SELL,235.0798,0.1,23.507980000000003,0.023507980000000005,TUSD
3,1053,2020-06-02 12:11:32,ETHTUSD,SELL,234.7345,0.1,23.47345,0.02347345,TUSD
4,1052,2020-06-02 12:00:13,ETHTUSD,BUY,234.5952,0.1,23.45952,0.02345952,TUSD
5,1051,2020-06-02 11:57:12,ETHTUSD,SELL,234.7845,0.1,23.478450000000002,0.02347845,TUSD
6,1050,2020-06-02 11:27:24,ETHTUSD,BUY,234.8499,0.1,23.48499,0.02348499,TUSD
7,1049,2020-06-02 11:00:53,ETHTUSD,BUY,234.5452,0.1,23.454520000000002,0.023454520000000003,TUSD
8,1048,2020-06-02 10:48:47,ETHTUSD,SELL,234.9998,0.1,23.49998,0.02349998,TUSD
9,1047,2020-06-02 10:00:15,ETHTUSD,BUY,234.1156,0.1,23.41156,0.02341156,TUSD
10,1046,2020-06-02 09:52:12,ETHTUSD,SELL,233.8987,0.1,23.389870000000002,0.023389870000000004,TUSD
11,1045,2020-06-02 09:46:20,ETHTUSD,SELL,233.4732,0.1,23.34732,0.02334732,TUSD
12,1044,2020-06-02 09:43:57,ETHTUSD,BUY,233.1766,0.1,23.317660000000004,0.023317660000000004,TUSD
13,1043,2020-06-02 09:42:30,ETHTUSD,SELL,233.3982,0.1,23.339820000000003,0.023339820000000004,TUSD
14,1042,2020-06-02 09:41:16,ETHTUSD,BUY,233.8559,0.1,23.38559,0.02338559,TUSD
15,1041,2020-06-02 09:30:08,ETHTUSD,BUY,234.0257,0.1,23.40257,0.02340257,TUSD
16,1040,2020-06-02 09:22:32,ETHTUSD,SELL,233.2831,0.1,23.328310000000002,0.02332831,TUSD
