id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,trade_fee,exchange_trade_id
1,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589763077679,buy://ETHTUSD/51b4d86ea7ed4b9fb78d93a637,BUY,LIMIT,208.2658,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
2,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764041002,sell://ETHTUSD/ebecfa6f4ff174803d98ce65fb,SELL,LIMIT,209.1195,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
3,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764208001,sell://ETHTUSD/31506108b5375097c306877af1,SELL,LIMIT,209.9899,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
4,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764268603,buy://ETHTUSD/46c92c20697cf5f1b51d8792d0,BUY,LIMIT,211.3743,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
5,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764352002,sell://ETHTUSD/02afdbf621ef439034664e52de,SELL,LIMIT,211.3656,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
6,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764457001,sell://ETHTUSD/afa2a41f65395a0f96ca6d0089,SELL,LIMIT,212.3961,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
7,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764525002,sell://ETHTUSD/eb5ab3cd9ffd71ac74e10dd5fa,SELL,LIMIT,213.1615,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
8,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764528099,buy://ETHTUSD/cda08420fbc8d8f3b8182c02e8,BUY,LIMIT,212.9485,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
9,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764706002,sell://ETHTUSD/d70dd05b7cb64a8180f8a24be6,SELL,LIMIT,213.5517,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
10,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764782001,buy://ETHTUSD/e5562a80c49f8439c46c867ce7,BUY,LIMIT,214.0429,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
11,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589764897002,sell://ETHTUSD/e7a70f72fd2d290e62fe67a36d,SELL,LIMIT,214.0019,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
12,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765001424,buy://ETHTUSD/1a08127e930d3343b8b125ef97,BUY,LIMIT,213.963,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
13,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765092001,buy://ETHTUSD/253a4e817783f01d62e78e47d1,BUY,LIMIT,214.1479,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
14,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765157714,buy://ETHTUSD/c04d28b853af2fd9fa2690b047,BUY,LIMIT,213.5632,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
15,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765275001,sell://ETHTUSD/e03b09a03883c964ad72f6771d,SELL,LIMIT,213.5767,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
16,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765379003,sell://ETHTUSD/365a73043dd83e4f2b69b877dd,SELL,LIMIT,213.5167,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
17,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765486001,buy://ETHTUSD/5699a9fd0b7894fa3ad27dfcd5,BUY,LIMIT,213.923,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
18,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589765609154,buy://ETHTUSD/75b4a7c7a34947d5063741e3e1,BUY,LIMIT,213.2333,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
